Station name,Year,Month,Day,Hour,Minute,Second,Longitude,Longitude2,Longitude3,Latitude,Latitude2,Latitude3,Pressure,Temperature
,,,,,,,Decimal degrees,Degrees,Minutes,Decimal degrees,Degrees,Minutes,PRES7PRD,TEMP7IDD
,,,,,,,,,,,,,dbar,degree C
BB0020,2005,01,25,15,32,26,14.9991,14,59.9470,55.2918,55,17.5060,7.000,4.352
BB0020,2005,01,25,15,32,51,14.9991,14,59.9470,55.2918,55,17.5060,7.500,4.353
BB0020,2005,01,25,15,32,52,14.9991,14,59.9470,55.2918,55,17.5060,8.000,4.354
BB0020,2005,01,25,15,32,54,14.9991,14,59.9470,55.2918,55,17.5060,8.500,4.354
BB0020,2005,01,25,15,32,56,14.9991,14,59.9470,55.2918,55,17.5060,9.000,4.353
BB0020,2005,01,25,15,32,57,14.9991,14,59.9470,55.2918,55,17.5060,9.500,4.353
BB0020,2005,01,25,15,32,59,14.9991,14,59.9470,55.2918,55,17.5060,10.000,4.354
BB0020,2005,01,25,15,33,01,14.9991,14,59.9470,55.2918,55,17.5060,10.500,4.353
BB0020,2005,01,25,15,33,02,14.9991,14,59.9470,55.2918,55,17.5060,11.000,4.352
BB0020,2005,01,25,15,33,04,14.9991,14,59.9470,55.2918,55,17.5060,11.500,4.355
BB0020,2005,01,25,15,33,07,14.9991,14,59.9470,55.2918,55,17.5060,12.000,4.368
BB0020,2005,01,25,15,33,07,14.9991,14,59.9470,55.2918,55,17.5060,12.500,4.368
BB0020,2005,01,25,15,33,08,14.9991,14,59.9470,55.2918,55,17.5060,13.000,4.367
BB0020,2005,01,25,15,33,10,14.9991,14,59.9470,55.2918,55,17.5060,13.500,4.367
BB0020,2005,01,25,15,33,13,14.9991,14,59.9470,55.2918,55,17.5060,14.000,4.367
BB0020,2005,01,25,15,33,14,14.9991,14,59.9470,55.2918,55,17.5060,14.500,4.367
BB0020,2005,01,25,15,33,14,14.9991,14,59.9470,55.2918,55,17.5060,15.000,4.367
BB0020,2005,01,25,15,33,17,14.9991,14,59.9470,55.2918,55,17.5060,15.500,4.367
BB0020,2005,01,25,15,33,19,14.9991,14,59.9470,55.2918,55,17.5060,16.000,4.367
BB0020,2005,01,25,15,33,20,14.9991,14,59.9470,55.2918,55,17.5060,16.500,4.367
BB0020,2005,01,25,15,33,23,14.9991,14,59.9470,55.2918,55,17.5060,17.000,4.367
BB0020,2005,01,25,15,33,25,14.9991,14,59.9470,55.2918,55,17.5060,17.500,4.368
BB0020,2005,01,25,15,33,27,14.9991,14,59.9470,55.2918,55,17.5060,18.000,4.368
BB0020,2005,01,25,15,33,29,14.9991,14,59.9470,55.2918,55,17.5060,18.500,4.368
BB0020,2005,01,25,15,33,30,14.9991,14,59.9470,55.2918,55,17.5060,19.000,4.368
BB0020,2005,01,25,15,33,32,14.9991,14,59.9470,55.2918,55,17.5060,19.500,4.369
BB0020,2005,01,25,15,33,35,14.9991,14,59.9470,55.2918,55,17.5060,20.000,4.368
BB0020,2005,01,25,15,33,35,14.9991,14,59.9470,55.2918,55,17.5060,20.500,4.368
BB0020,2005,01,25,15,33,38,14.9991,14,59.9470,55.2918,55,17.5060,21.000,4.368
BB0020,2005,01,25,15,33,41,14.9991,14,59.9470,55.2918,55,17.5060,21.500,4.369
BB0020,2005,01,25,15,33,42,14.9991,14,59.9470,55.2918,55,17.5060,22.000,4.369
BB0020,2005,01,25,15,33,45,14.9991,14,59.9470,55.2918,55,17.5060,22.500,4.368
BB0020,2005,01,25,15,33,47,14.9991,14,59.9470,55.2918,55,17.5060,23.000,4.368
BB0020,2005,01,25,15,33,48,14.9991,14,59.9470,55.2918,55,17.5060,23.500,4.368
BB0020,2005,01,25,15,33,51,14.9991,14,59.9470,55.2918,55,17.5060,24.000,4.368
BB0020,2005,01,25,15,33,53,14.9991,14,59.9470,55.2918,55,17.5060,24.500,4.368
BB0020,2005,01,25,15,33,54,14.9991,14,59.9470,55.2918,55,17.5060,25.000,4.368
BB0020,2005,01,25,15,33,58,14.9991,14,59.9470,55.2918,55,17.5060,25.500,4.368
BB0020,2005,01,25,15,33,58,14.9991,14,59.9470,55.2918,55,17.5060,26.000,4.368
BB0020,2005,01,25,15,33,59,14.9991,14,59.9470,55.2918,55,17.5060,26.500,4.368
BB0020,2005,01,25,15,34,02,14.9991,14,59.9470,55.2918,55,17.5060,27.000,4.368
BB0020,2005,01,25,15,34,04,14.9991,14,59.9470,55.2918,55,17.5060,27.500,4.368
BB0020,2005,01,25,15,34,06,14.9991,14,59.9470,55.2918,55,17.5060,28.000,4.368
BB0020,2005,01,25,15,34,08,14.9991,14,59.9470,55.2918,55,17.5060,28.500,4.368
BB0020,2005,01,25,15,34,09,14.9991,14,59.9470,55.2918,55,17.5060,29.000,4.368
BB0020,2005,01,25,15,34,12,14.9991,14,59.9470,55.2918,55,17.5060,29.500,4.367
BB0020,2005,01,25,15,34,13,14.9991,14,59.9470,55.2918,55,17.5060,30.000,4.368
BB0020,2005,01,25,15,34,15,14.9991,14,59.9470,55.2918,55,17.5060,30.500,4.368
BB0020,2005,01,25,15,34,17,14.9991,14,59.9470,55.2918,55,17.5060,31.000,4.368
BB0020,2005,01,25,15,34,19,14.9991,14,59.9470,55.2918,55,17.5060,31.500,4.368
BB0020,2005,01,25,15,34,20,14.9991,14,59.9470,55.2918,55,17.5060,32.000,4.368
BB0020,2005,01,25,15,34,23,14.9991,14,59.9470,55.2918,55,17.5060,32.500,4.368
BB0020,2005,01,25,15,34,25,14.9991,14,59.9470,55.2918,55,17.5060,33.000,4.369
BB0020,2005,01,25,15,34,26,14.9991,14,59.9470,55.2918,55,17.5060,33.500,4.368
BB0020,2005,01,25,15,34,28,14.9991,14,59.9470,55.2918,55,17.5060,34.000,4.368
BB0020,2005,01,25,15,34,31,14.9991,14,59.9470,55.2918,55,17.5060,34.500,4.369
BB0020,2005,01,25,15,34,32,14.9991,14,59.9470,55.2918,55,17.5060,35.000,4.369
BB0020,2005,01,25,15,34,34,14.9991,14,59.9470,55.2918,55,17.5060,35.500,4.369
BB0020,2005,01,25,15,34,36,14.9991,14,59.9470,55.2918,55,17.5060,36.000,4.37
BB0020,2005,01,25,15,34,37,14.9991,14,59.9470,55.2918,55,17.5060,36.500,4.37
BB0020,2005,01,25,15,34,40,14.9991,14,59.9470,55.2918,55,17.5060,37.000,4.372
BB0020,2005,01,25,15,34,41,14.9991,14,59.9470,55.2918,55,17.5060,37.500,4.373
BB0020,2005,01,25,15,34,43,14.9991,14,59.9470,55.2918,55,17.5060,38.000,4.374
BB0020,2005,01,25,15,34,46,14.9991,14,59.9470,55.2918,55,17.5060,38.500,4.375
BB0020,2005,01,25,15,34,47,14.9991,14,59.9470,55.2918,55,17.5060,39.000,4.375
BB0020,2005,01,25,15,34,48,14.9991,14,59.9470,55.2918,55,17.5060,39.500,4.372
BB0020,2005,01,25,15,34,51,14.9991,14,59.9470,55.2918,55,17.5060,40.000,4.37
BB0020,2005,01,25,15,34,53,14.9991,14,59.9470,55.2918,55,17.5060,40.500,4.364
BB0020,2005,01,25,15,34,54,14.9991,14,59.9470,55.2918,55,17.5060,41.000,4.358
BB0020,2005,01,25,15,34,57,14.9991,14,59.9470,55.2918,55,17.5060,41.500,4.357
BB0020,2005,01,25,15,35,00,14.9991,14,59.9470,55.2918,55,17.5060,42.000,4.357
BB0020,2005,01,25,15,35,00,14.9991,14,59.9470,55.2918,55,17.5060,42.500,4.358
BB0020,2005,01,25,15,35,01,14.9991,14,59.9470,55.2918,55,17.5060,43.000,4.359
BB0020,2005,01,25,15,35,05,14.9991,14,59.9470,55.2918,55,17.5060,43.500,4.361
BB0020,2005,01,25,15,35,07,14.9991,14,59.9470,55.2918,55,17.5060,44.000,4.378
BB0020,2005,01,25,15,35,08,14.9991,14,59.9470,55.2918,55,17.5060,44.500,4.403
BB0020,2005,01,25,15,35,10,14.9991,14,59.9470,55.2918,55,17.5060,45.000,4.415
BB0020,2005,01,25,15,35,12,14.9991,14,59.9470,55.2918,55,17.5060,45.500,4.479
BB0020,2005,01,25,15,35,14,14.9991,14,59.9470,55.2918,55,17.5060,46.000,4.7
BB0020,2005,01,25,15,35,16,14.9991,14,59.9470,55.2918,55,17.5060,46.500,5.029
BB0020,2005,01,25,15,35,18,14.9991,14,59.9470,55.2918,55,17.5060,47.000,5.382
BB0020,2005,01,25,15,35,20,14.9991,14,59.9470,55.2918,55,17.5060,47.500,6.07
BB0020,2005,01,25,15,35,22,14.9991,14,59.9470,55.2918,55,17.5060,48.000,6.28
BB0020,2005,01,25,15,35,24,14.9991,14,59.9470,55.2918,55,17.5060,48.500,6.295
BB0020,2005,01,25,15,35,26,14.9991,14,59.9470,55.2918,55,17.5060,49.000,6.315
BB0020,2005,01,25,15,35,28,14.9991,14,59.9470,55.2918,55,17.5060,49.500,6.322
BB0020,2005,01,25,15,35,29,14.9991,14,59.9470,55.2918,55,17.5060,50.000,6.326
BB0020,2005,01,25,15,35,32,14.9991,14,59.9470,55.2918,55,17.5060,50.500,6.327
BB0020,2005,01,25,15,35,34,14.9991,14,59.9470,55.2918,55,17.5060,51.000,6.347
BB0020,2005,01,25,15,35,35,14.9991,14,59.9470,55.2918,55,17.5060,51.500,6.361
BB0020,2005,01,25,15,35,38,14.9991,14,59.9470,55.2918,55,17.5060,52.000,6.37
BB0020,2005,01,25,15,35,40,14.9991,14,59.9470,55.2918,55,17.5060,52.500,6.332
BB0020,2005,01,25,15,35,40,14.9991,14,59.9470,55.2918,55,17.5060,53.000,6.302
BB0020,2005,01,25,15,35,44,14.9991,14,59.9470,55.2918,55,17.5060,53.500,6.286
BB0020,2005,01,25,15,35,46,14.9991,14,59.9470,55.2918,55,17.5060,54.000,6.226
BB0020,2005,01,25,15,35,47,14.9991,14,59.9470,55.2918,55,17.5060,54.500,6.204
BB0020,2005,01,25,15,35,51,14.9991,14,59.9470,55.2918,55,17.5060,55.000,6.242
BB0020,2005,01,25,15,35,52,14.9991,14,59.9470,55.2918,55,17.5060,55.500,6.376
BB0020,2005,01,25,15,35,53,14.9991,14,59.9470,55.2918,55,17.5060,56.000,6.43
BB0020,2005,01,25,15,35,55,14.9991,14,59.9470,55.2918,55,17.5060,56.500,6.434
BB0020,2005,01,25,15,35,58,14.9991,14,59.9470,55.2918,55,17.5060,57.000,6.435
BB0020,2005,01,25,15,35,58,14.9991,14,59.9470,55.2918,55,17.5060,57.500,6.424
BB0020,2005,01,25,15,35,59,14.9991,14,59.9470,55.2918,55,17.5060,58.000,6.454
BB0020,2005,01,25,15,36,02,14.9991,14,59.9470,55.2918,55,17.5060,58.500,6.462
BB0020,2005,01,25,15,36,04,14.9991,14,59.9470,55.2918,55,17.5060,59.000,6.445
BB0020,2005,01,25,15,36,04,14.9991,14,59.9470,55.2918,55,17.5060,59.500,6.339
BB0020,2005,01,25,15,36,06,14.9991,14,59.9470,55.2918,55,17.5060,60.000,6.445
BB0020,2005,01,25,15,36,09,14.9991,14,59.9470,55.2918,55,17.5060,60.500,6.446
BB0020,2005,01,25,15,36,09,14.9991,14,59.9470,55.2918,55,17.5060,61.000,6.38
BB0020,2005,01,25,15,36,11,14.9991,14,59.9470,55.2918,55,17.5060,61.500,6.402
BB0020,2005,01,25,15,36,14,14.9991,14,59.9470,55.2918,55,17.5060,62.000,6.418
BB0020,2005,01,25,15,36,15,14.9991,14,59.9470,55.2918,55,17.5060,62.500,6.432
BB0020,2005,01,25,15,36,18,14.9991,14,59.9470,55.2918,55,17.5060,63.000,6.437
BB0020,2005,01,25,15,36,19,14.9991,14,59.9470,55.2918,55,17.5060,63.500,6.439
BB0020,2005,01,25,15,36,21,14.9991,14,59.9470,55.2918,55,17.5060,64.000,6.44
BB0020,2005,01,25,15,36,23,14.9991,14,59.9470,55.2918,55,17.5060,64.500,6.442
BB0020,2005,01,25,15,36,24,14.9991,14,59.9470,55.2918,55,17.5060,65.000,6.442
BB0020,2005,01,25,15,36,26,14.9991,14,59.9470,55.2918,55,17.5060,65.500,6.446
BB0020,2005,01,25,15,36,27,14.9991,14,59.9470,55.2918,55,17.5060,66.000,6.451
BB0020,2005,01,25,15,36,30,14.9991,14,59.9470,55.2918,55,17.5060,66.500,6.457
BB0020,2005,01,25,15,36,32,14.9991,14,59.9470,55.2918,55,17.5060,67.000,6.457
BB0020,2005,01,25,15,36,33,14.9991,14,59.9470,55.2918,55,17.5060,67.500,6.464
BB0020,2005,01,25,15,36,34,14.9991,14,59.9470,55.2918,55,17.5060,68.000,6.471
BB0020,2005,01,25,15,36,37,14.9991,14,59.9470,55.2918,55,17.5060,68.500,6.477
BB0020,2005,01,25,15,36,39,14.9991,14,59.9470,55.2918,55,17.5060,69.000,6.474
BB0020,2005,01,25,15,36,39,14.9991,14,59.9470,55.2918,55,17.5060,69.500,6.471
BB0020,2005,01,25,15,36,42,14.9991,14,59.9470,55.2918,55,17.5060,70.000,6.472
BB0020,2005,01,25,15,36,44,14.9991,14,59.9470,55.2918,55,17.5060,70.500,6.474
BB0020,2005,01,25,15,36,45,14.9991,14,59.9470,55.2918,55,17.5060,71.000,6.476
BB0020,2005,01,25,15,36,46,14.9991,14,59.9470,55.2918,55,17.5060,71.500,6.478